127.0.0.1 - - [19/May/2024:11:37:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/May/2024:11:37:35 +0530] "GET /JAVADEMO/ HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [19/May/2024:11:37:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/May/2024:11:39:53 +0530] "GET /JAVADEMO/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [19/May/2024:11:39:55 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [19/May/2024:11:40:03 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:11:40:05 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:12:05:44 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:14:49:09 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:14:49:49 +0530] "GET /JAVADEMO/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:14:50:00 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [19/May/2024:14:50:08 +0530] "GET /JAVADEMO/index.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [19/May/2024:14:50:09 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:14:50:10 +0530] "GET /JAVADEMO/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:14:50:13 +0530] "GET /JAVADEMO/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:15:07:44 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:15:07:45 +0530] "GET /JAVADEMO/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:15:08:29 +0530] "GET /JAVADEMO/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:15:08:52 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [19/May/2024:15:08:53 +0530] "GET /JAVADEMO/kk3k.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:16 +0530] "GET /JAVADEMO/kk3k.html HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:20 +0530] "GET /JAVADEMO/index.html HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:22 +0530] "GET /JAVADEMO/log9in.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:30 +0530] "GET /JAVADEMO/log9in.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:31 +0530] "GET /JAVADEMO/log9in.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:33 +0530] "GET /JAVADEMO/log9in.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:46 +0530] "GET /JAVADEMO/index.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:47 +0530] "GET /JAVADEMO/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:15:09:48 +0530] "GET /JAVADEMO/kk3k.html HTTP/1.1" 404 773
